image,posttest,mean_liking,bins
113. Erhvervskampagne Oktober 2022_Film_4.jpg,113.,3.5700404858299595,16
113. Erhvervskampagne Oktober 2022_Film_5.jpg,113.,3.5700404858299595,16
118. Pendlertjek November 2022 - annonce 1.jpg,118.,3.3333333333333335,12
118. Pendlertjek November 2022 - annonce 2.jpg,118.,3.3333333333333335,12
118. Pendlertjek November 2022_Film_1_1.jpg,118.,3.3333333333333335,12
118. Pendlertjek November 2022_Film_1_2.jpg,118.,3.3333333333333335,12
118. Pendlertjek November 2022_Film_2_1.jpg,118.,3.3333333333333335,12
118. Pendlertjek November 2022_Film_2_2.jpg,118.,3.3333333333333335,12
119. Orange Januar udsalg 2023 - annonce.jpg,119.,3.659114315139032,18
119. Orange Januar udsalg 2023_Film_1.jpg,119.,3.659114315139032,18
119. Orange Januar udsalg 2023_Film_2.jpg,119.,3.659114315139032,18
119. Orange Januar udsalg 2023_Film_3.jpg,119.,3.659114315139032,18
119. Orange Januar udsalg 2023_Film_4.jpg,119.,3.659114315139032,18
120. Erhvervsposttest Februar 2023 - annonce 1.jpg,120.,3.6119148936170213,17
120. Erhvervsposttest Februar 2023 - annonce 2.jpg,120.,3.6119148936170213,17
120. Erhvervsposttest Februar 2023_Film_1.jpg,120.,3.6119148936170213,17
120. Erhvervsposttest Februar 2023_Film_2.jpg,120.,3.6119148936170213,17
120. Erhvervsposttest Februar 2023_Film_3.jpg,120.,3.6119148936170213,17
120. Erhvervsposttest Februar 2023_Film_4.jpg,120.,3.6119148936170213,17
122. Erhvervskampagne Juni 2023 - annonce 1.jpg,122.,3.568457538994801,16
122. Erhvervskampagne Juni 2023 - annonce 2.jpg,122.,3.568457538994801,16
122. Erhvervskampagne Juni 2023_Film_1.jpg,122.,3.568457538994801,16
122. Erhvervskampagne Juni 2023_Film_2.jpg,122.,3.568457538994801,16
122. Erhvervskampagne Juni 2023_Film_3.jpg,122.,3.568457538994801,16
122. Erhvervskampagne Juni 2023_Film_4.jpg,122.,3.568457538994801,16
124. Studiestartskampagne - annonce 1.jpg,124.,3.114541832669323,8
124. Studiestartskampagne - annonce 2.jpg,124.,3.114541832669323,8
124. Studiestartskampagne_Film_1.jpg,124.,3.114541832669323,8
124. Studiestartskampagne_Film_2.jpg,124.,3.114541832669323,8
124. Studiestartskampagne_Film_3.jpg,124.,3.114541832669323,8
124. Studiestartskampagne_Film_4.jpg,124.,3.114541832669323,8
125. Erhverv Efterår 2023 - annonce 1.jpg,125.,3.5025951557093427,15
125. Erhverv Efterår 2023 - annonce 2.jpg,125.,3.5025951557093427,15
125. Erhverv Efterår 2023_Film_1.jpg,125.,3.5025951557093427,15
125. Erhverv Efterår 2023_Film_2.jpg,125.,3.5025951557093427,15
125. Erhverv Efterår 2023_Film_3.jpg,125.,3.5025951557093427,15
125. Erhverv Efterår 2023_Film_4.jpg,125.,3.5025951557093427,15
126. Bæredygtighed September 2023 - annonce.jpg,126.,3.5951265229615745,17
126. Bæredygtighed September 2023_Film_1.jpg,126.,3.5951265229615745,17
126. Bæredygtighed September 2023_Film_2.jpg,126.,3.5951265229615745,17
126. Bæredygtighed September_Film_3.jpg,126.,3.5951265229615745,17
13. DSB 1' - annonce 1.jpg,13.,3.008092485549133,6
13. DSB 1' - annonce 2.jpg,13.,3.008092485549133,6
13. DSB 1' - annonce 3.jpg,13.,3.008092485549133,6
14. K16 Burst 1 - annonce 1.jpg,14.,3.2372479240806644,10
14. K16 Burst 1 - annonce 2.jpg,14.,3.2372479240806644,10
16. Julekampagne - annonce 1.jpg,16.,3.1593625498007967,9
16. Julekampagne - annonce 2.jpg,16.,3.1593625498007967,9
16. Julekampagne - annonce 3.jpg,16.,3.1593625498007967,9
18. Julekampagne Øresund - annonce.jpg,18.,3.133630289532294,9
18. Julekampagne Øresund - banner.jpg,18.,3.133630289532294,9
19. Orange billetter - annonce 1.jpg,19.,3.2750397456279807,11
19. Orange billetter - annonce 2.jpg,19.,3.2750397456279807,11
2. Ungdomskort - annonce 1.jpg,2.,3.3919799498746865,13
2. Ungdomskort - annonce 2.jpg,2.,3.3919799498746865,13
2. Ungdomskort - annonce 3.jpg,2.,3.3919799498746865,13
22. Udland - annonce 1.jpg,22.,3.411225658648339,13
22. Udland - annonce 2.jpg,22.,3.411225658648339,13
22. Udland - annonce 3.jpg,22.,3.411225658648339,13
22. Udland - banner-01.jpg,22.,3.411225658648339,13
22. Udland - banner-02.jpg,22.,3.411225658648339,13
22. Udland - banner-03.jpg,22.,3.411225658648339,13
22. Udland - banner-04.jpg,22.,3.411225658648339,13
22. Udland - banner-05.jpg,22.,3.411225658648339,13
22. Udland - banner-06.jpg,22.,3.411225658648339,13
22. Udland - banner-07.jpg,22.,3.411225658648339,13
22. Udland - banner-08.jpg,22.,3.411225658648339,13
22. Udland - banner-09.jpg,22.,3.411225658648339,13
22. Udland - banner-10.jpg,22.,3.411225658648339,13
22. Udland - banner-11.jpg,22.,3.411225658648339,13
22. Udland - banner-12.jpg,22.,3.411225658648339,13
22. Udland - banner-13.jpg,22.,3.411225658648339,13
22. Udland - banner-14.jpg,22.,3.411225658648339,13
22. Udland - banner-15.jpg,22.,3.411225658648339,13
22. Udland - banner-16.jpg,22.,3.411225658648339,13
22. Udland - banner-17.jpg,22.,3.411225658648339,13
22. Udland - banner-18.jpg,22.,3.411225658648339,13
26. Pendlerpush - annone.jpg,26.,3.2788632326820606,11
26. Pendlerpush - banner.jpg,26.,3.2788632326820606,11
27. Udfasning af klippekort - annonce.jpg,27.,3.2130584192439864,10
28. Pendlerkort i app - annonce 1.jpg,28.,3.326424870466321,12
28. Pendlerkort i app - annonce 2.jpg,28.,3.326424870466321,12
28. Pendlerkort i app - annonce 3.jpg,28.,3.326424870466321,12
30. Sporarbejde - annonce 1.jpg,30.,3.5505376344086024,16
30. Sporarbejde - annonce 2.jpg,30.,3.5505376344086024,16
30. Sporarbejde - banner-1.jpg,30.,3.5505376344086024,16
30. Sporarbejde - banner-2.jpg,30.,3.5505376344086024,16
30. Sporarbejde - flyer-1.jpg,30.,3.5505376344086024,16
30. Sporarbejde - flyer-2.jpg,30.,3.5505376344086024,16
30. Sporarbejde - flyer-3.jpg,30.,3.5505376344086024,16
30. Sporarbejde - flyer-4.jpg,30.,3.5505376344086024,16
31. Familie - annonce.jpg,31.,3.3760539629005057,13
32. Orange - annonce 1.jpg,32.,2.7937427578215526,3
32. Orange - annonce 2.jpg,32.,2.7937427578215526,3
32. Orange - annonce 3.jpg,32.,2.7937427578215526,3
32. Orange - annonce 4.jpg,32.,2.7937427578215526,3
33. Orange Vejviser - annonce 1.jpg,33.,3.3187613843351547,12
33. Orange Vejviser - annonce 2.jpg,33.,3.3187613843351547,12
34. Sikkerhed - annonce 1.jpg,34.,3.232768361581921,10
34. Sikkerhed - annonce 2.jpg,34.,3.232768361581921,10
34. Sikkerhed - annonce 3.jpg,34.,3.232768361581921,10
36. Orange - annonce.jpg,36.,3.306639288158795,12
39. DSB Familie - annonce.jpg,39.,3.2665388302972196,11
39. DSB Familie - banner-1.jpg,39.,3.2665388302972196,11
39. DSB Familie - banner-2.jpg,39.,3.2665388302972196,11
39. DSB Familie - banner-3.jpg,39.,3.2665388302972196,11
39. DSB Familie - banner-4.jpg,39.,3.2665388302972196,11
39. DSB Familie - banner-5.jpg,39.,3.2665388302972196,11
4. DSB+ - annonce 1.jpg,4.,3.292796281951975,11
4. DSB+ - annonce 2.jpg,4.,3.292796281951975,11
4. DSB+ - annonce 3.jpg,4.,3.292796281951975,11
44. K17 - annonce.jpg,44.,3.042834890965732,7
44. K17 - banner.jpg,44.,3.042834890965732,7
45. Udland - annonce 1.jpg,45.,3.0552941176470587,7
45. Udland - annonce 2.jpg,45.,3.0552941176470587,7
46. Orange Januarudsalg - annonce-1.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - annonce-2.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-1.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-2.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-3.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-4.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-5.jpg,46.,3.3287225386493082,12
46. Orange Januarudsalg - banner-6.jpg,46.,3.3287225386493082,12
47. S17 - annonce.jpg,47.,3.0365997638724913,7
47. S17 - film 12.jpg,47.,3.0365997638724913,7
5. Udland Jul - annonce 1.jpg,5.,3.4980184940554824,15
5. Udland Jul - annonce 2.jpg,5.,3.4980184940554824,15
5. Udland Jul - annonce 3.jpg,5.,3.4980184940554824,15
51. Orange - annonce.jpg,51.,3.140103780578206,9
52. Sporarbejde på S-banen - annonce.jpg,52.,3.156716417910448,9
54. Orange - annonce.jpg,54.,3.1737637362637363,9
54. Orange - film 2.jpg,54.,3.1737637362637363,9
54. Orange - film 3.jpg,54.,3.1737637362637363,9
54. Orange - film 9.jpg,54.,3.1737637362637363,9
58. Julekampagne - film 1 1.jpg,58.,3.456664238892935,14
58. Julekampagne - film 1 2.jpg,58.,3.456664238892935,14
59. Orange - annonce.jpg,59.,3.3510306058713306,12
59. Orange - film 2.jpg,59.,3.3510306058713306,12
59. Orange - film 3.jpg,59.,3.3510306058713306,12
67. Julekampagne - annonce.jpg,67.,3.345080763582966,12
68. Den fælles fortælling - annonce.jpg,68.,3.1308056872037913,9
72. Den fælles fortælling - runde 3 - annonce.jpg,72.,2.996142719382835,6
72. Den fælles fortælling - runde 3 - film 24.jpg,72.,2.996142719382835,6
72. Den fælles fortælling - runde 3 - film 37.jpg,72.,2.996142719382835,6
72. Den fælles fortælling - runde 3 - film 4.jpg,72.,2.996142719382835,6
72. Den fælles fortælling - runde 3 - film 41.jpg,72.,2.996142719382835,6
72. Den fælles fortælling - runde 3 - film 7.jpg,72.,2.996142719382835,6
73. Orange Sommerudsalg - annonce.jpg,73.,3.5327380952380953,16
73. Orange Sommerudsalg - banner 2.jpg,73.,3.5327380952380953,16
73. Orange Sommerudsalg - banner 5.jpg,73.,3.5327380952380953,16
75. To børn gratis - annonce.jpg,75.,3.407634628493524,13
76. Orange Fri - runde 3 - banner.jpg,76.,3.3907967032967035,13
79. Orange Fri - runde 4 - film.mov 14.jpg,79.,3.4009186351706036,13
79. Orange Fri - runde 4 - film.mov 17.jpg,79.,3.4009186351706036,13
79. Orange Fri - runde 4 - film.mov 4.jpg,79.,3.4009186351706036,13
80. Julekampagne - annonce.jpg,80.,3.6631716906946266,18
83. Orange Sommerudsalg - annonce 1.jpg,83.,3.4853683148335017,15
83. Orange Sommerudsalg - annonce 2.jpg,83.,3.4853683148335017,15
83. Orange Sommerudsalg - film 14.jpg,83.,3.4853683148335017,15
83. Orange Sommerudsalg - film 24.jpg,83.,3.4853683148335017,15
83. Orange Sommerudsalg - film 6.jpg,83.,3.4853683148335017,15
84_2. Kundeoplevelser - annonce 1.jpg,2.,3.3919799498746865,13
84_2. Kundeoplevelser - annonce 2.jpg,2.,3.3919799498746865,13
85. S-tog Tag din cykel gratis med - annonce.jpg,85.,3.5870698644421273,16
85. S-tog Tag din cykel gratis med - film 10.jpg,85.,3.5870698644421273,16
85. S-tog Tag din cykel gratis med - film 11.jpg,85.,3.5870698644421273,16
85. S-tog Tag din cykel gratis med - film 4.jpg,85.,3.5870698644421273,16
86. Kundeoplevelser - annonce 1.jpg,86.,3.3303964757709252,12
86. Kundeoplevelser - annonce 2.jpg,86.,3.3303964757709252,12
87. S-tog Nat - annonce.jpg,87.,3.4674922600619196,14
87. S-tog Nat - film 5.jpg,87.,3.4674922600619196,14
87. S-tog Nat - film 6.jpg,87.,3.4674922600619196,14
87. S-tog Nat - film 7.jpg,87.,3.4674922600619196,14
88. Rejsepas - annonce.jpg,88.,3.7055837563451774,19
88. Rejsepas - film 11.jpg,88.,3.7055837563451774,19
88. Rejsepas - film 13.jpg,88.,3.7055837563451774,19
88. Rejsepas - film 2.jpg,88.,3.7055837563451774,19
88. Rejsepas - film 3.jpg,88.,3.7055837563451774,19
9. Forventningsafstemgning trafikinformation - annonce_film_1.jpg,9.,3.0653846153846156,7
9. Forventningsafstemgning trafikinformation - annonce_film_2.jpg,9.,3.0653846153846156,7
9. Forventningsafstemgning trafikinformation - annonce_film_3.jpg,9.,3.0653846153846156,7
9. Forventningsafstemgning trafikinformation - banner.jpg,9.,3.0653846153846156,7
90. Udland 45+ - film 12.jpg,90.,3.563025210084034,16
90. Udland 45+ - film 13.jpg,90.,3.563025210084034,16
90. Udland 45+ - film 4.jpg,90.,3.563025210084034,16
90. Udland 45+ - film 7.jpg,90.,3.563025210084034,16
92. Orange Sommerudsalg - annonce.jpg,92.,3.52422480620155,15
92. Orange Sommerudsalg_Film_1.jpg,92.,3.52422480620155,15
95. Sporarbejde Hund - annonce.jpg,95.,3.4281314168377826,14
95. Sporarbejde Hund_Film_1.jpg,95.,3.4281314168377826,14
95. Sporarbejde Hund_Film_2.jpg,95.,3.4281314168377826,14
95. Sporarbejde Hund_Film_3.jpg,95.,3.4281314168377826,14
95. Sporarbejde Hund_Film_4.jpg,95.,3.4281314168377826,14
96. Sporarbejde Rejsetidsgaranti - annonce.jpg,96.,3.3329886246122027,12
99. Bæredygtighed - annonce 1.jpg,99.,3.329938900203666,12
99. Bæredygtighed - annonce 2.jpg,99.,3.329938900203666,12
99. Bæredygtighed_Film_1.jpg,99.,3.329938900203666,12
99. Bæredygtighed_Film_2.jpg,99.,3.329938900203666,12
99. Bæredygtighed_Film_3.jpg,99.,3.329938900203666,12
